"Geregistreerde misdrijven en aangiften; soort misdrijf, gemeente 2026"
"Soort misdrijf: Totaal misdrijven"
""
"Onderwerp";"Geregistreerde misdrijven"
"Perioden";"2024"
"Regio's";"aantal"
"Nederland";"805559"
"Aa en Hunze";"582"
"Aalsmeer";"1222"
"Aalten";"478"
"Achtkarspelen";"555"
"Alblasserdam";"552"
"Albrandswaard";"1019"
"Alkmaar";"5601"
"Almelo";"4005"
"Almere";"9608"
"Alphen aan den Rijn";"3888"
"Alphen-Chaam";"224"
"Altena";"1569"
"Ameland";"94"
"Amersfoort";"6911"
"Amstelveen";"3844"
"Amsterdam";"82964"
"Apeldoorn";"7562"
"Arnhem";"11582"
"Assen";"3210"
"Asten";"593"
"Baarle-Nassau";"211"
"Baarn";"982"
"Barendrecht";"1737"
"Barneveld";"1855"
"Beek (L.)";"750"
"Beekdaelen";"1122"
"Beesel";"385"
"Berg en Dal";"1002"
"Bergeijk";"439"
"Bergen (L.)";"428"
"Bergen (NH.)";"839"
"Bergen op Zoom";"3689"
"Berkelland";"1007"
"Bernheze";"843"
"Best";"1170"
"Beuningen";"627"
"Beverwijk";"2092"
"De Bilt";"1636"
"Bladel";"564"
"Blaricum";"342"
"Bloemendaal";"1062"
"Bodegraven-Reeuwijk";"1457"
"Boekel";"311"
"Borger-Odoorn";"491"
"Borne";"679"
"Borsele";"466"
"Boxtel";"1100"
"Breda";"10932"
"Bronckhorst";"568"
"Brummen";"514"
"Brunssum";"1253"
"Bunnik";"446"
"Bunschoten";"539"
"Buren";"569"
"Capelle aan den IJssel";"2583"
"Castricum";"1124"
"Coevorden";"906"
"Cranendonck";"984"
"Culemborg";"846"
"Dalfsen";"499"
"Dantumadiel";"339"
"Delft";"5799"
"Deurne";"1042"
"Deventer";"4889"
"Diemen";"1600"
"Dijk en Waard";"3131"
"Dinkelland";"514"
"Doesburg";"298"
"Doetinchem";"2372"
"Dongen";"767"
"Dordrecht";"6105"
"Drechterland";"456"
"Drimmelen";"771"
"Dronten";"1336"
"Druten";"383"
"Duiven";"660"
"Echt-Susteren";"1249"
"Edam-Volendam";"876"
"Ede";"4454"
"Eemnes";"257"
"Eemsdelta";"1392"
"Eersel";"591"
"Eijsden-Margraten";"618"
"Eindhoven";"19252"
"Elburg";"558"
"Emmen";"4034"
"Enkhuizen";"720"
"Enschede";"9558"
"Epe";"993"
"Ermelo";"970"
"Etten-Leur";"1642"
"De Fryske Marren";"1054"
"Geertruidenberg";"646"
"Geldrop-Mierlo";"1508"
"Gemert-Bakel";"928"
"Gennep";"554"
"Gilze en Rijen";"1146"
"Goeree-Overflakkee";"1359"
"Goes";"1923"
"Goirle";"703"
"Gooise Meren";"2507"
"Gorinchem";"1500"
"Gouda";"3822"
"'s-Gravenhage (gemeente)";"38823"
"Groningen (gemeente)";"14981"
"Gulpen-Wittem";"389"
"Haaksbergen";"542"
"Haarlem";"9583"
"Haarlemmermeer";"6736"
"Halderberge";"1184"
"Hardenberg";"1462"
"Harderwijk";"1788"
"Hardinxveld-Giessendam";"456"
"Harlingen";"464"
"Hattem";"356"
"Heemskerk";"1264"
"Heemstede";"1209"
"Heerde";"389"
"Heerenveen";"1471"
"Heerlen";"6057"
"Heeze-Leende";"513"
"Heiloo";"670"
"Den Helder";"3346"
"Hellendoorn";"847"
"Helmond";"4755"
"Hendrik-Ido-Ambacht";"1020"
"Hengelo (O.)";"3752"
"'s-Hertogenbosch";"8954"
"Heumen";"441"
"Heusden";"1167"
"Hillegom";"649"
"Hilvarenbeek";"521"
"Hilversum";"4331"
"Hoeksche Waard";"2337"
"Hof van Twente";"860"
"Het Hogeland";"1142"
"Hollands Kroon";"1174"
"Hoogeveen";"2322"
