"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2024*"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Noord-Nederland (LD)";"828,9";"100";"219,6";"264,9";"122,6"
"Oost-Nederland (LD)";"1678,6";"100";"545,0";"324,7";"162,8"
"West-Nederland (LD)";"4009,2";"100";"1421,9";"354,7";"112,1"
"Zuid-Nederland (LD)";"1742,3";"100";"567,9";"326,0";"155,9"
"Niet in te delen (LD)";"0,0";".";".";".";"."
"Aa en Hunze";"11,4";"100";"4,5";"398,1";"235,5"
"Aalsmeer";"14,3";"100";"7,7";"539,2";"262,8"
"Aalten";"11,7";"100";"4,2";"359,8";"211,6"
"Achtkarspelen";"12,1";"100";"3,0";"247,4";"149,0"
"Alblasserdam";"8,5";"100";"2,7";"314,6";"153,3"
"Albrandswaard";"10,6";"100";"4,8";"453,6";"254,5"
"Alkmaar";"54,1";"100";"15,1";"278,9";"155,5"
"Almelo";"33,6";"100";"7,2";"214,5";"82,0"
"Almere";"95,8";"100";"21,8";"227,7";"148,2"
"Alphen aan den Rijn";"50,5";"100";"17,0";"336,8";"180,4"
"Alphen-Chaam";"4,4";"100";"2,7";"609,1";"385,0"
"Altena";"23,7";"100";"10,2";"427,6";"228,8"
"Ameland";"1,8";"100";"0,8";"412,2";"257,6"
"Amersfoort";"72,4";"100";"23,8";"329,3";"166,4"
"Amstelveen";"44,1";"100";"20,9";"474,1";"77,1"
"Amsterdam";"498,0";"100";"160,4";"322,2";"14,6"
"Apeldoorn";"75,9";"100";"24,8";"326,3";"162,0"
"Arnhem";"83,9";"100";"16,7";"199,2";"24,7"
"Assen";"32,4";"100";"7,2";"223,1";"115,3"
"Asten";"7,4";"100";"3,5";"468,0";"267,9"
"Baarle-Nassau";"3,1";"100";"1,5";"491,7";"291,1"
"Baarn";"11,2";"100";"6,2";"549,1";"275,2"
"Barendrecht";"19,7";"100";"8,3";"422,2";"246,4"
"Barneveld";"23,6";"100";"12,0";"507,8";"285,5"
"Beek (L.)";"7,6";"100";"2,1";"282,5";"181,9"
"Beekdaelen";"16,3";"100";"5,0";"304,4";"193,0"
"Beesel";"6,0";"100";"1,7";"279,1";"165,0"
