"Geregistreerde misdrijven en aangiften; soort misdrijf, gemeente 2026"
"Soort misdrijf: Totaal misdrijven"
""
"Onderwerp";"Geregistreerde misdrijven";"Geregistreerde misdrijven"
"Perioden";"2022";"2023"
"Regio's";"aantal";"aantal"
"Nederland";"800027";"805590"
"Aa en Hunze";"657";"664"
"Aalsmeer";"1004";"1092"
"Aalten";"534";"483"
"Achtkarspelen";"616";"605"
"Alblasserdam";"526";"533"
"Albrandswaard";"1015";"1110"
"Alkmaar";"5964";"5978"
"Almelo";"4334";"4132"
"Almere";"8955";"9233"
"Alphen aan den Rijn";"4174";"3832"
"Alphen-Chaam";"283";"290"
"Altena";"1499";"1456"
"Ameland";"107";"97"
"Amersfoort";"7096";"7612"
"Amstelveen";"3619";"3811"
"Amsterdam";"76890";"81783"
"Apeldoorn";"7081";"6991"
"Arnhem";"10801";"11096"
"Assen";"3398";"3765"
"Asten";"620";"620"
"Baarle-Nassau";"212";"233"
"Baarn";"879";"994"
"Barendrecht";"1878";"1722"
"Barneveld";"1852";"1773"
"Beek (L.)";"635";"734"
"Beekdaelen";"1103";"984"
"Beesel";"374";"384"
"Berg en Dal";"1282";"1208"
"Bergeijk";"482";"496"
"Bergen (L.)";"412";"402"
"Bergen (NH.)";"859";"904"
"Bergen op Zoom";"3109";"3532"
"Berkelland";"1118";"1045"
"Bernheze";"918";"796"
"Best";"1254";"1203"
"Beuningen";"725";"664"
"Beverwijk";"2017";"1957"
"De Bilt";"1678";"1717"
"Bladel";"575";"508"
"Blaricum";"363";"347"
"Bloemendaal";"949";"978"
"Bodegraven-Reeuwijk";"1346";"1496"
"Boekel";"364";"314"
"Borger-Odoorn";"593";"550"
"Borne";"794";"711"
"Borsele";"480";"401"
"Boxtel";"1153";"1140"
"Breda";"10817";"11042"
"Bronckhorst";"735";"612"
"Brummen";"587";"553"
"Brunssum";"1175";"1177"
"Bunnik";"424";"435"
"Bunschoten";"613";"567"
"Buren";"680";"626"
"Capelle aan den IJssel";"2716";"2484"
"Castricum";"1126";"1172"
"Coevorden";"1170";"1104"
"Cranendonck";"994";"1092"
"Culemborg";"1021";"902"
"Dalfsen";"489";"498"
"Dantumadiel";"369";"287"
"Delft";"5633";"5441"
"Deurne";"1108";"1099"
"Deventer";"4656";"4807"
"Diemen";"1562";"1599"
"Dijk en Waard";"3287";"3290"
"Dinkelland";"544";"498"
"Doesburg";"309";"262"
"Doetinchem";"2518";"2160"
"Dongen";"746";"705"
"Dordrecht";"6169";"6512"
"Drechterland";"480";"510"
"Drimmelen";"799";"777"
"Dronten";"1423";"1264"
"Druten";"488";"435"
"Duiven";"783";"781"
"Echt-Susteren";"1469";"1314"
"Edam-Volendam";"844";"779"
"Ede";"4913";"4635"
"Eemnes";"233";"264"
"Eemsdelta";"1726";"1601"
"Eersel";"656";"601"
"Eijsden-Margraten";"630";"605"
"Eindhoven";"17266";"18863"
"Elburg";"677";"600"
"Emmen";"4716";"4268"
"Enkhuizen";"800";"749"
"Enschede";"10170";"9082"
"Epe";"912";"937"
"Ermelo";"982";"837"
"Etten-Leur";"1683";"1780"
"De Fryske Marren";"1132";"1134"
"Geertruidenberg";"794";"725"
"Geldrop-Mierlo";"1554";"1413"
"Gemert-Bakel";"1000";"894"
"Gennep";"605";"583"
"Gilze en Rijen";"1108";"1035"
"Goeree-Overflakkee";"1559";"1369"
"Goes";"1807";"1781"
"Goirle";"723";"827"
"Gooise Meren";"2388";"2658"
"Gorinchem";"1451";"1514"
"Gouda";"3586";"3803"
"'s-Gravenhage (gemeente)";"37463";"37483"
"Groningen (gemeente)";"13473";"15054"
"Gulpen-Wittem";"477";"430"
"Haaksbergen";"545";"524"
"Haarlem";"8927";"9718"
"Haarlemmermeer";"6611";"6755"
"Halderberge";"1083";"1095"
"Hardenberg";"1657";"1540"
"Harderwijk";"1777";"1920"
"Hardinxveld-Giessendam";"425";"424"
"Harlingen";"601";"462"
"Hattem";"348";"361"
"Heemskerk";"1369";"1385"
"Heemstede";"1025";"1106"
"Heerde";"425";"400"
"Heerenveen";"1691";"1707"
"Heerlen";"5917";"6233"
"Heeze-Leende";"542";"520"
"Heiloo";"663";"747"
"Den Helder";"3191";"3011"
"Hellendoorn";"808";"829"
"Helmond";"5366";"5586"
"Hendrik-Ido-Ambacht";"947";"960"
"Hengelo (O.)";"3907";"3676"
"'s-Hertogenbosch";"8815";"9165"
"Heumen";"533";"486"
"Heusden";"1250";"1321"
"Hillegom";"647";"695"
"Hilvarenbeek";"732";"572"
"Hilversum";"4065";"4024"
"Hoeksche Waard";"2156";"2123"
"Hof van Twente";"950";"728"
"Het Hogeland";"1112";"1104"
"Hollands Kroon";"1195";"1154"
"Hoogeveen";"2250";"2243"
"Hoorn";"3421";"3518"
"Horst aan de Maas";"1456";"1486"
"Houten";"1376";"1235"
"Huizen";"1143";"1057"
"Hulst";"911";"780"
"IJsselstein";"1065";"1261"
"Kaag en Braassem";"752";"698"
"Kampen";"1743";"1642"
"Kapelle";"356";"343"
"Katwijk";"2463";"2278"
"Kerkrade";"2483";"2367"
"Koggenland";"577";"591"
"Krimpen aan den IJssel";"627";"631"
"Krimpenerwaard";"1539";"1556"
"Laarbeek";"625";"607"
"Land van Cuijk";"2733";"2655"
"Landgraaf";"1559";"1523"
"Landsmeer";"453";"492"
"Lansingerland";"1870";"2045"
"Laren (NH.)";"482";"480"
"Leeuwarden";"6753";"7003"
"Leiden";"6470";"6660"
"Leiderdorp";"868";"886"
"Leidschendam-Voorburg";"3576";"3782"
"Lelystad";"3957";"3872"
"Leudal";"1256";"1006"
"Leusden";"711";"779"
"Lingewaard";"1051";"1069"
"Lisse";"735";"706"
"Lochem";"905";"827"
"Loon op Zand";"994";"904"
"Lopik";"370";"282"
"Losser";"579";"568"
"Maasdriel";"804";"731"
"Maasgouw";"780";"675"
"Maashorst";"2587";"2622"
"Maassluis";"1234";"1138"
"Maastricht";"7966";"7840"
"Medemblik";"1263";"1212"
"Meerssen";"674";"583"
"Meierijstad";"2838";"2772"
"Meppel";"1277";"1234"
"Middelburg (Z.)";"2279";"2267"
"Midden-Delfland";"672";"636"
"Midden-Drenthe";"945";"736"
"Midden-Groningen";"2318";"2030"
"Moerdijk";"1536";"1605"
"Molenlanden";"873";"818"
"Montferland";"937";"811"
"Montfoort";"301";"373"
"Mook en Middelaar";"289";"219"
"Neder-Betuwe";"632";"611"
"Nederweert";"398";"444"
"Nieuwegein";"3155";"3427"
"Nieuwkoop";"685";"662"
"Nijkerk";"1407";"1242"
"Nijmegen";"12073";"11931"
"Nissewaard";"3807";"3705"
"Noardeast-Fryslân";"1052";"918"
"Noord-Beveland";"236";"204"
"Noordenveld";"732";"678"
