"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2022"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Noord-Nederland (LD)";"810,8";"100";"202,8";"250,1";"118,0"
"Oost-Nederland (LD)";"1634,5";"100";"498,3";"304,8";"152,4"
"West-Nederland (LD)";"3896,2";"100";"1339,1";"343,7";"119,0"
"Zuid-Nederland (LD)";"1699,9";"100";"531,5";"312,7";"155,7"
"Niet in te delen (LD)";"0,0";".";".";".";"."
"Aa en Hunze";"11,2";"100";"4,3";"379,5";"232,8"
"Aalsmeer";"13,6";"100";"7,3";"538,3";"289,4"
"Aalten";"11,6";"100";"3,8";"328,1";"190,0"
"Achtkarspelen";"11,9";"100";"2,8";"236,0";"148,2"
"Alblasserdam";"8,2";"100";"2,4";"286,3";"143,1"
"Albrandswaard";"10,4";"100";"4,2";"404,7";"238,2"
"Alkmaar";"52,9";"100";"15,7";"297,3";"144,9"
"Almelo";"32,9";"100";"6,5";"198,6";"75,0"
"Almere";"91,8";"100";"19,8";"215,4";"153,4"
"Alphen aan den Rijn";"49,2";"100";"15,5";"314,8";"170,8"
"Alphen-Chaam";"4,3";"100";"2,5";"588,4";"384,1"
"Altena";"22,9";"100";"9,1";"398,2";"214,7"
"Ameland";"1,7";"100";"0,7";"399,2";"281,8"
"Amersfoort";"70,4";"100";"23,3";"330,9";"180,4"
"Amstelveen";"42,9";"100";"20,3";"473,1";"95,0"
"Amsterdam";"479,5";"100";"155,6";"324,5";"13,7"
"Apeldoorn";"74,5";"100";"22,4";"300,7";"146,0"
"Arnhem";"82,0";"100";"14,9";"181,3";"23,0"
"Assen";"31,8";"100";"7,0";"219,3";"113,4"
"Asten";"7,3";"100";"3,3";"447,5";"272,8"
"Baarle-Nassau";"3,1";"100";"1,5";"473,9";"292,1"
"Baarn";"11,1";"100";"5,9";"532,9";"272,6"
"Barendrecht";"19,4";"100";"7,9";"404,5";"240,1"
"Barneveld";"22,8";"100";"10,8";"475,1";"272,6"
"Beek (L.)";"7,4";"100";"2,0";"278,4";"187,4"
"Beekdaelen";"16,2";"100";"4,9";"299,6";"195,7"
"Beesel";"6,0";"100";"1,6";"270,7";"161,6"
"Berg en Dal";"15,9";"100";"5,3";"335,2";"172,4"
"Bergeijk";"8,0";"100";"4,3";"535,2";"357,2"
"Bergen (L.)";"5,7";"100";"1,7";"303,2";"195,1"
